P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
mountain_nyala	giant_eland	greater_kudu	0.0319759	9.86278	2.3e-16	0.0344073	851372	789574	740644
giant_eland	greater_kudu	nyala	0.0320866	18.6722	2.3e-16	0.023701	1.37245e+06	616848	578493
sitatunga	giant_eland	greater_kudu	0.0809471	38.8556	2.3e-16	0.0782013	895491	779932	663121
giant_eland	mountain_nyala	lesser_kudu	0.0118345	6.83771	8.04676e-12	0.00969897	1.57859e+06	559129	546049
giant_eland	nyala	lesser_kudu	0.0382309	18.5866	2.3e-16	0.0407688	865219	745293	690405
giant_eland	sitatunga	lesser_kudu	0.014603	9.42694	2.3e-16	0.0112992	1.60471e+06	530864	515583
giant_eland	mountain_nyala	nyala	0.0517797	22.5809	2.3e-16	0.0408004	1.45634e+06	668780	602931
mountain_nyala	sitatunga	giant_eland	0.0406813	18.5939	2.3e-16	0.0272763	1.0987e+06	682273	628931
giant_eland	sitatunga	nyala	0.0418722	23.2765	2.3e-16	0.0307876	1.47911e+06	619935	570106
mountain_nyala	greater_kudu	lesser_kudu	0.00876203	6.05187	1.43177e-09	0.00695406	1.43572e+06	535252	525953
greater_kudu	nyala	lesser_kudu	0.0241818	17.2261	2.3e-16	0.024618	849653	691134	658498
sitatunga	greater_kudu	lesser_kudu	0.00682824	5.4186	6.00685e-08	0.00537994	1.36624e+06	531051	523848
greater_kudu	mountain_nyala	nyala	0.0224869	13.4104	2.3e-16	0.0174886	1.30518e+06	627211	599623
sitatunga	mountain_nyala	greater_kudu	0.05813	24.4082	2.3e-16	0.0453266	1.19638e+06	615360	547748
greater_kudu	sitatunga	nyala	0.00938909	7.38904	1.47898e-13	0.00723897	1.24406e+06	615586	604134
mountain_nyala	nyala	lesser_kudu	0.0298475	21.9236	2.3e-16	0.0314371	907742	722048	680194
mountain_nyala	sitatunga	lesser_kudu	0.00244745	1.70883	0.0874819	0.0016011	1.92743e+06	438477	436336
sitatunga	nyala	lesser_kudu	0.0289803	17.8782	2.3e-16	0.0299389	878628	708576	668663
sitatunga	mountain_nyala	nyala	0.0161258	8.97784	2.3e-16	0.0104045	1.76991e+06	513473	497175
